Date,GDP_Growth_Rate,Unemployment_Rate,Inflation_Rate,Interest_Rate,Stock_Market_Index,Consumer_Confidence,Investment_Rate,Exports,Imports,Government_Spending,Private_Consumption,Industrial_Production,Housing_Index,Target_Economic_Output
2020-01-01,2.3,3.5,1.8,1.75,3225.5,98.2,19.2,2150.3,2345.7,520.4,3215.8,102.3,285.2,2.4
2020-02-01,2.1,3.6,1.9,1.75,2954.3,95.1,19.1,2120.5,2310.2,525.1,3189.2,101.8,283.5,2.2
2020-03-01,0.3,4.4,2.1,0.38,2584.6,76.5,15.8,1890.2,2050.3,650.2,2895.4,97.5,275.3,0.8
2020-04-01,-1.6,14.8,3.2,0.16,2912.4,71.3,12.4,1650.5,1845.2,890.3,2145.6,89.2,268.1,-1.2
2020-05-01,-0.7,13.3,2.8,0.16,2954.3,74.2,14.1,1720.3,1920.4,870.5,2310.5,92.1,272.4,-0.5
2020-06-01,1.2,11.1,2.4,0.18,3100.2,85.4,16.3,1950.2,2150.3,750.2,2650.3,96.8,281.2,1.5
2020-07-01,2.1,10.2,2.2,0.25,3271.1,89.5,17.8,2050.3,2280.4,680.1,2890.5,98.9,287.5,2.3
2020-08-01,2.8,8.4,1.9,0.25,3350.5,91.2,18.9,2150.4,2350.2,620.3,3120.8,101.2,295.3,2.9
2020-09-01,3.1,7.8,1.8,0.16,3271.6,92.8,19.5,2180.5,2380.3,590.2,3250.5,102.8,298.4,3.2
2020-10-01,3.5,6.9,1.7,0.16,3396.5,94.5,20.1,2250.3,2450.1,550.4,3380.6,104.1,304.2,3.6
2020-11-01,3.8,6.7,1.6,0.16,3638.3,96.1,20.8,2320.4,2520.5,520.3,3520.8,105.3,310.5,3.9
2020-12-01,4.1,6.3,1.4,0.16,3756.1,97.8,21.2,2380.5,2580.3,495.2,3650.4,106.5,316.2,4.2
2021-01-01,4.3,6.4,1.5,0.16,3714.3,98.2,21.5,2420.3,2620.4,480.3,3720.5,107.2,321.4,4.3
2021-02-01,4.5,6.2,1.7,0.17,3753.8,98.9,21.8,2450.2,2650.3,470.2,3780.6,107.9,326.1,4.5
2021-03-01,4.7,6.0,2.0,0.25,3961.1,99.5,22.1,2480.5,2700.2,465.1,3850.8,108.6,331.5,4.8
2021-04-01,4.8,5.8,2.3,0.25,4128.3,99.8,22.4,2520.3,2750.4,460.3,3920.5,109.3,336.2,4.9
2021-05-01,4.9,5.5,2.6,0.25,4155.1,100.2,22.7,2550.2,2800.3,450.2,3980.6,109.8,341.1,5.0
2021-06-01,5.0,5.3,2.9,0.25,4238.5,100.8,22.9,2580.5,2850.2,445.1,4050.8,110.2,345.3,5.1
2021-07-01,5.1,5.4,3.2,0.25,4319.8,100.5,23.1,2620.3,2900.4,440.3,4120.5,110.5,349.2,5.2
